MT072688_1	Nepal
hCoV-19_Argentina_PAIS_A017_2020_EPI_ISL_430808	Argentina
hCoV-19_Argentina_PAIS_A018_2020_EPI_ISL_430809	Argentina
hCoV-19_Argentina_PAIS_A019_2020_EPI_ISL_430810	Argentina
hCoV-19_Argentina_PAIS_A020_2020_EPI_ISL_430811	Argentina
hCoV-19_Argentina_PAIS_A021_2020_EPI_ISL_430812	Argentina
hCoV-19_Argentina_PAIS_A022_2020_EPI_ISL_430813	Argentina
hCoV-19_Argentina_PAIS_A023_2020_EPI_ISL_430814	Argentina
hCoV-19_Argentina_PAIS_A024_2020_EPI_ISL_430815	Argentina
hCoV-19_Argentina_PAIS_A025_2020_EPI_ISL_430816	Argentina
hCoV-19_Argentina_PAIS_A026_2020_EPI_ISL_430817	Argentina
hCoV-19_Argentina_PAIS_A027_2020_EPI_ISL_430818	Argentina
hCoV-19_Australia_NSW01_2020_EPI_ISL_407893	Australia
hCoV-19_Australia_NSW02_2020_EPI_ISL_408976	Australia
hCoV-19_Australia_NSW03_2020_EPI_ISL_408977	Australia
hCoV-19_Australia_NSW04_2020_EPI_ISL_417030	Australia
hCoV-19_Australia_NSW05_2020_EPI_ISL_412975	Australia
hCoV-19_Australia_NSW06_2020_EPI_ISL_413213	Australia
hCoV-19_Australia_NSW07_2020_EPI_ISL_413214	Australia
hCoV-19_Australia_NSW08_2020_EPI_ISL_413594	Australia
hCoV-19_Australia_NSW09_2020_EPI_ISL_413595	Australia
hCoV-19_Australia_NSW100_2020_EPI_ISL_427722	Australia
hCoV-19_Australia_NSW101_2020_EPI_ISL_427717	Australia
hCoV-19_Australia_NSW102_2020_EPI_ISL_427656	Australia
hCoV-19_Australia_NSW103_2020_EPI_ISL_427657	Australia
hCoV-19_Australia_NSW104_2020_EPI_ISL_427677	Australia
hCoV-19_Australia_NSW105_2020_EPI_ISL_427686	Australia
hCoV-19_Australia_NSW106_2020_EPI_ISL_427748	Australia
hCoV-19_Australia_NSW107_2020_EPI_ISL_427772	Australia
hCoV-19_Australia_NSW108_2020_EPI_ISL_427804	Australia
hCoV-19_Australia_NSW109_2020_EPI_ISL_427754	Australia
hCoV-19_Australia_NSW10_2020_EPI_ISL_413596	Australia
hCoV-19_Australia_NSW110_2020_EPI_ISL_427741	Australia
hCoV-19_Australia_NSW111_2020_EPI_ISL_427661	Australia
hCoV-19_Australia_NSW112_2020_EPI_ISL_427666	Australia
hCoV-19_Australia_NSW113_2020_EPI_ISL_427728	Australia
hCoV-19_Australia_NSW114_2020_EPI_ISL_427724	Australia
hCoV-19_Australia_NSW115_2020_EPI_ISL_427696	Australia
hCoV-19_Australia_NSW116_2020_EPI_ISL_427698	Australia
hCoV-19_Australia_NSW117_2020_EPI_ISL_427756	Australia
hCoV-19_Australia_NSW118_2020_EPI_ISL_427693	Australia
hCoV-19_Australia_NSW119_2020_EPI_ISL_427669	Australia
hCoV-19_Australia_NSW11_2020_EPI_ISL_413597	Australia
hCoV-19_Australia_NSW120_2020_EPI_ISL_427679	Australia
hCoV-19_Australia_NSW121_2020_EPI_ISL_427688	Australia
hCoV-19_Australia_NSW122_2020_EPI_ISL_427778	Australia
hCoV-19_Australia_NSW123_2020_EPI_ISL_427780	Australia
hCoV-19_Australia_NSW124_2020_EPI_ISL_427782	Australia
hCoV-19_Australia_NSW125_2020_EPI_ISL_427785	Australia
hCoV-19_Australia_NSW126_2020_EPI_ISL_427794	Australia
hCoV-19_Australia_NSW127_2020_EPI_ISL_427808	Australia
hCoV-19_Australia_NSW128_2020_EPI_ISL_427689	Australia
hCoV-19_Australia_NSW129_2020_EPI_ISL_427760	Australia
hCoV-19_Australia_NSW12_2020_EPI_ISL_413598	Australia
hCoV-19_Australia_NSW130_2020_EPI_ISL_427768	Australia
hCoV-19_Australia_NSW131_2020_EPI_ISL_427783	Australia
hCoV-19_Australia_NSW132_2020_EPI_ISL_427787	Australia
hCoV-19_Australia_NSW133_2020_EPI_ISL_427791	Australia
hCoV-19_Australia_NSW134_2020_EPI_ISL_427742	Australia
hCoV-19_Australia_NSW135_2020_EPI_ISL_427673	Australia
hCoV-19_Australia_NSW136_2020_EPI_ISL_427692	Australia
hCoV-19_Australia_NSW137_2020_EPI_ISL_427700	Australia
hCoV-19_Australia_NSW138_2020_EPI_ISL_427761	Australia
hCoV-19_Australia_NSW139_2020_EPI_ISL_427795	Australia
hCoV-19_Australia_NSW13_2020_EPI_ISL_413599	Australia
hCoV-19_Australia_NSW140_2020_EPI_ISL_427799	Australia
hCoV-19_Australia_NSW141_2020_EPI_ISL_427802	Australia
hCoV-19_Australia_NSW142_2020_EPI_ISL_427749	Australia
hCoV-19_Australia_NSW143_2020_EPI_ISL_427737	Australia
hCoV-19_Australia_NSW144_2020_EPI_ISL_427738	Australia
hCoV-19_Australia_NSW145_2020_EPI_ISL_427708	Australia
hCoV-19_Australia_NSW146_2020_EPI_ISL_427682	Australia
hCoV-19_Australia_NSW147_2020_EPI_ISL_427764	Australia
hCoV-19_Australia_NSW148_2020_EPI_ISL_427683	Australia
hCoV-19_Australia_NSW149_2020_EPI_ISL_427775	Australia
hCoV-19_Australia_NSW14_2020_EPI_ISL_413600	Australia
hCoV-19_Australia_NSW150_2020_EPI_ISL_427796	Australia
hCoV-19_Australia_NSW151_2020_EPI_ISL_427721	Australia
hCoV-19_Australia_NSW152_2020_EPI_ISL_427648	Australia
hCoV-19_Australia_NSW153_2020_EPI_ISL_427653	Australia
hCoV-19_Australia_NSW154_2020_EPI_ISL_427652	Australia
hCoV-19_Australia_NSW155_2020_EPI_ISL_427647	Australia
hCoV-19_Australia_NSW156_2020_EPI_ISL_427719	Australia
hCoV-19_Australia_NSW157_2020_EPI_ISL_427674	Australia
hCoV-19_Australia_NSW158_2020_EPI_ISL_427735	Australia
hCoV-19_Australia_NSW159_2020_EPI_ISL_427781	Australia
hCoV-19_Australia_NSW15_2020_EPI_ISL_417383	Australia
hCoV-19_Australia_NSW160_2020_EPI_ISL_427784	Australia
hCoV-19_Australia_NSW161_2020_EPI_ISL_427788	Australia
hCoV-19_Australia_NSW162_2020_EPI_ISL_427758	Australia
hCoV-19_Australia_NSW163_2020_EPI_ISL_427789	Australia
hCoV-19_Australia_NSW164_2020_EPI_ISL_427715	Australia
hCoV-19_Australia_NSW165_2020_EPI_ISL_427731	Australia
hCoV-19_Australia_NSW166_2020_EPI_ISL_427771	Australia
hCoV-19_Australia_NSW167_2020_EPI_ISL_427697	Australia
hCoV-19_Australia_NSW168_2020_EPI_ISL_427739	Australia
hCoV-19_Australia_NSW169_2020_EPI_ISL_427779	Australia
hCoV-19_Australia_NSW170_2020_EPI_ISL_427676	Australia
hCoV-19_Australia_NSW171_2020_EPI_ISL_427743	Australia
hCoV-19_Australia_NSW173_2020_EPI_ISL_427801	Australia
hCoV-19_Australia_NSW174_2020_EPI_ISL_427668	Australia
hCoV-19_Australia_NSW175_2020_EPI_ISL_427687	Australia
hCoV-19_Australia_NSW176_2020_EPI_ISL_427734	Australia
hCoV-19_Australia_NSW177_2020_EPI_ISL_427667	Australia
hCoV-19_Australia_NSW178_2020_EPI_ISL_427670	Australia
hCoV-19_Australia_NSW179_2020_EPI_ISL_427685	Australia
hCoV-19_Australia_NSW180_2020_EPI_ISL_427701	Australia
hCoV-19_Australia_NSW181_2020_EPI_ISL_427709	Australia
hCoV-19_Australia_NSW182_2020_EPI_ISL_427713	Australia
hCoV-19_Australia_NSW183_2020_EPI_ISL_427714	Australia
hCoV-19_Australia_NSW184_2020_EPI_ISL_427752	Australia
hCoV-19_Australia_NSW185_2020_EPI_ISL_427793	Australia
hCoV-19_Australia_NSW186_2020_EPI_ISL_427803	Australia
hCoV-19_Australia_NSW187_2020_EPI_ISL_427691	Australia
hCoV-19_Australia_NSW188_2020_EPI_ISL_427694	Australia
hCoV-19_Australia_NSW189_2020_EPI_ISL_427740	Australia
hCoV-19_Australia_NSW18_2020_EPI_ISL_417384	Australia
hCoV-19_Australia_NSW190_2020_EPI_ISL_427736	Australia
hCoV-19_Australia_NSW191_2020_EPI_ISL_427786	Australia
hCoV-19_Australia_NSW192_2020_EPI_ISL_427797	Australia
hCoV-19_Australia_NSW193_2020_EPI_ISL_427798	Australia
hCoV-19_Australia_NSW194_2020_EPI_ISL_427763	Australia
hCoV-19_Australia_NSW195_2020_EPI_ISL_427767	Australia
hCoV-19_Australia_NSW196_2020_EPI_ISL_427806	Australia
hCoV-19_Australia_NSW197_2020_EPI_ISL_427746	Australia
hCoV-19_Australia_NSW198_2020_EPI_ISL_427707	Australia
hCoV-19_Australia_NSW199_2020_EPI_ISL_427747	Australia
hCoV-19_Australia_NSW19_2020_EPI_ISL_417385	Australia
hCoV-19_Australia_NSW200_2020_EPI_ISL_427684	Australia
hCoV-19_Australia_NSW201_2020_EPI_ISL_427710	Australia
hCoV-19_Australia_NSW202_2020_EPI_ISL_427762	Australia
hCoV-19_Australia_NSW203_2020_EPI_ISL_427765	Australia
hCoV-19_Australia_NSW204_2020_EPI_ISL_427792	Australia
hCoV-19_Australia_NSW205_2020_EPI_ISL_427745	Australia
hCoV-19_Australia_NSW206_2020_EPI_ISL_427695	Australia
hCoV-19_Australia_NSW207_2020_EPI_ISL_427807	Australia
hCoV-19_Australia_NSW208_2020_EPI_ISL_427753	Australia
hCoV-19_Australia_NSW209_2020_EPI_ISL_427755	Australia
hCoV-19_Australia_NSW210_2020_EPI_ISL_427766	Australia
hCoV-19_Australia_NSW211_2020_EPI_ISL_427699	Australia
hCoV-19_Australia_NSW212_2020_EPI_ISL_427671	Australia
hCoV-19_Australia_NSW213_2020_EPI_ISL_427726	Australia
hCoV-19_Australia_NSW214_2020_EPI_ISL_427727	Australia
hCoV-19_Australia_NSW215_2020_EPI_ISL_427730	Australia
hCoV-19_Australia_NSW216_2020_EPI_ISL_427732	Australia
hCoV-19_Australia_NSW217_2020_EPI_ISL_427644	Australia
hCoV-19_Australia_NSW218_2020_EPI_ISL_427665	Australia
hCoV-19_Australia_NSW219_202_EPI_ISL_427643	Australia
hCoV-19_Australia_NSW21_2020_EPI_ISL_417386	Australia
hCoV-19_Australia_NSW22_2020_EPI_ISL_427649	Australia
hCoV-19_Australia_NSW23_2020_EPI_ISL_427650	Australia
hCoV-19_Australia_NSW24_2020_EPI_ISL_417387	Australia
hCoV-19_Australia_NSW25_2020_EPI_ISL_417388	Australia
hCoV-19_Australia_NSW26_2020_EPI_ISL_417389	Australia
hCoV-19_Australia_NSW27_2020_EPI_ISL_417390	Australia
hCoV-19_Australia_NSW28_2020_EPI_ISL_417391	Australia
hCoV-19_Australia_NSW29_2020_EPI_ISL_427651	Australia
hCoV-19_Australia_NSW31_2020_EPI_ISL_417392	Australia
hCoV-19_Australia_NSW33_2020_EPI_ISL_427654	Australia
hCoV-19_Australia_NSW34_2020_EPI_ISL_427655	Australia
hCoV-19_Australia_NSW35_2020_EPI_ISL_417393	Australia
hCoV-19_Australia_NSW36_2020_EPI_ISL_417394	Australia
hCoV-19_Australia_NSW37_2020_EPI_ISL_417395	Australia
hCoV-19_Australia_NSW38_2020_EPI_ISL_417396	Australia
hCoV-19_Australia_NSW39_2020_EPI_ISL_417397	Australia
hCoV-19_Australia_NSW40_2020_EPI_ISL_417398	Australia
hCoV-19_Australia_NSW41_2020_EPI_ISL_417399	Australia
hCoV-19_Australia_NSW44_2020_EPI_ISL_417400	Australia
hCoV-19_Australia_NSW45_2020_EPI_ISL_417401	Australia
hCoV-19_Australia_NSW46_2020_EPI_ISL_427658	Australia
hCoV-19_Australia_NSW47_2020_EPI_ISL_417402	Australia
hCoV-19_Australia_NSW48_2020_EPI_ISL_417403	Australia
hCoV-19_Australia_NSW49_2020_EPI_ISL_427659	Australia
hCoV-19_Australia_NSW50_2020_EPI_ISL_417404	Australia
hCoV-19_Australia_NSW51_2020_EPI_ISL_427660	Australia
hCoV-19_Australia_NSW52_2020_EPI_ISL_417405	Australia
hCoV-19_Australia_NSW53_2020_EPI_ISL_417406	Australia
hCoV-19_Australia_NSW54_2020_EPI_ISL_417407	Australia
hCoV-19_Australia_NSW56_2020_EPI_ISL_417408	Australia
hCoV-19_Australia_NSW57_2020_EPI_ISL_417409	Australia
hCoV-19_Australia_NSW58_2020_EPI_ISL_417410	Australia
hCoV-19_Australia_NSW59_2020_EPI_ISL_427662	Australia
hCoV-19_Australia_NSW60_2020_EPI_ISL_427663	Australia
hCoV-19_Australia_NSW61_2020_EPI_ISL_417411	Australia
hCoV-19_Australia_NSW62_2020_EPI_ISL_417412	Australia
hCoV-19_Australia_NSW63_2020_EPI_ISL_427664	Australia
hCoV-19_Australia_NSW64_2020_EPI_ISL_427773	Australia
hCoV-19_Australia_NSW65_2020_EPI_ISL_427645	Australia
hCoV-19_Australia_NSW66_2020_EPI_ISL_427646	Australia
hCoV-19_Australia_NSW67_2020_EPI_ISL_427733	Australia
hCoV-19_Australia_NSW68_2020_EPI_ISL_427751	Australia
hCoV-19_Australia_NSW69_2020_EPI_ISL_427705	Australia
hCoV-19_Australia_NSW70_2020_EPI_ISL_427757	Australia
hCoV-19_Australia_NSW71_2020_EPI_ISL_427759	Australia
hCoV-19_Australia_NSW72_2020_EPI_ISL_427744	Australia
hCoV-19_Australia_NSW73_2020_EPI_ISL_427750	Australia
hCoV-19_Australia_NSW74_2020_EPI_ISL_427706	Australia
hCoV-19_Australia_NSW75_2020_EPI_ISL_427703	Australia
hCoV-19_Australia_NSW76_2020_EPI_ISL_427704	Australia
hCoV-19_Australia_NSW77_2020_EPI_ISL_427729	Australia
hCoV-19_Australia_NSW78_2020_EPI_ISL_427770	Australia
hCoV-19_Australia_NSW79_2020_EPI_ISL_427790	Australia
hCoV-19_Australia_NSW80_2020_EPI_ISL_427690	Australia
hCoV-19_Australia_NSW81_2020_EPI_ISL_427720	Australia
hCoV-19_Australia_NSW82_2020_EPI_ISL_427805	Australia
hCoV-19_Australia_NSW83_2020_EPI_ISL_427711	Australia
hCoV-19_Australia_NSW84_2020_EPI_ISL_427723	Australia
hCoV-19_Australia_NSW85_2020_EPI_ISL_427718	Australia
hCoV-19_Australia_NSW86_2020_EPI_ISL_427725	Australia
hCoV-19_Australia_NSW87_2020_EPI_ISL_427800	Australia
hCoV-19_Australia_NSW88_2020_EPI_ISL_427702	Australia
hCoV-19_Australia_NSW89_2020_EPI_ISL_427776	Australia
hCoV-19_Australia_NSW90_2020_EPI_ISL_427680	Australia
hCoV-19_Australia_NSW91_2020_EPI_ISL_427712	Australia
hCoV-19_Australia_NSW92_2020_EPI_ISL_427675	Australia
hCoV-19_Australia_NSW93_2020_EPI_ISL_427681	Australia
hCoV-19_Australia_NSW94_2020_EPI_ISL_427716	Australia
hCoV-19_Australia_NSW95_2020_EPI_ISL_427672	Australia
hCoV-19_Australia_NSW96_2020_EPI_ISL_427678	Australia
hCoV-19_Australia_NSW97_2020_EPI_ISL_427769	Australia
hCoV-19_Australia_NSW98_2020_EPI_ISL_427774	Australia
hCoV-19_Australia_NSW99_2020_EPI_ISL_427777	Australia
hCoV-19_Australia_NSWID930_2020_EPI_ISL_421636	Australia
hCoV-19_Australia_NT01_2020_EPI_ISL_419831	Australia
hCoV-19_Australia_NT02_2020_EPI_ISL_419832	Australia
hCoV-19_Australia_NT04_2020_EPI_ISL_419833	Australia
hCoV-19_Australia_NT05_2020_EPI_ISL_419835	Australia
hCoV-19_Australia_NT06_2020_EPI_ISL_426633	Australia
hCoV-19_Australia_NT08_2020_EPI_ISL_426634	Australia
hCoV-19_Australia_NT10_2020_EPI_ISL_426898	Australia
hCoV-19_Australia_NT11_2020_EPI_ISL_426899	Australia
hCoV-19_Australia_NT12_2020_EPI_ISL_426900	Australia
hCoV-19_Australia_NT13_2020_EPI_ISL_426901	Australia
hCoV-19_Australia_NT14_2020_EPI_ISL_426902	Australia
hCoV-19_Australia_NT16_2020_EPI_ISL_426903	Australia
hCoV-19_Australia_NT17_2020_EPI_ISL_426904	Australia
hCoV-19_Australia_NT18_2020_EPI_ISL_426635	Australia
hCoV-19_Australia_NT19_2020_EPI_ISL_426636	Australia
hCoV-19_Australia_NT27_2020_EPI_ISL_430634	Australia
hCoV-19_Australia_NT28_2020_EPI_ISL_430631	Australia
hCoV-19_Australia_NT29_2020_EPI_ISL_430632	Australia
hCoV-19_Australia_NT30_2020_EPI_ISL_430633	Australia
hCoV-19_Australia_NT31_2020_EPI_ISL_430635	Australia
hCoV-19_Australia_NT32_2020_EPI_ISL_430636	Australia
hCoV-19_Australia_NT36_2020_EPI_ISL_430494	Australia
hCoV-19_Australia_NT37_2020_EPI_ISL_430495	Australia
hCoV-19_Australia_NT38_2020_EPI_ISL_430496	Australia
hCoV-19_Australia_NT39_2020_EPI_ISL_430497	Australia
hCoV-19_Australia_QLD01_2020_EPI_ISL_407894	Australia
hCoV-19_Australia_QLD02_2020_EPI_ISL_407896	Australia
hCoV-19_Australia_QLD03_2020_EPI_ISL_410717	Australia
hCoV-19_Australia_QLD04_2020_EPI_ISL_410718	Australia
hCoV-19_Australia_QLD09_2020_EPI_ISL_414414	Australia
hCoV-19_Australia_QLDID919_2020_EPI_ISL_417031	Australia
hCoV-19_Australia_QLDID920_2020_EPI_ISL_417032	Australia
hCoV-19_Australia_QLDID921_2020_EPI_ISL_417033	Australia
hCoV-19_Australia_QLDID922_2020_EPI_ISL_418799	Australia
hCoV-19_Australia_QLDID923_2020_EPI_ISL_418801	Australia
hCoV-19_Australia_QLDID924_2020_EPI_ISL_418802	Australia
hCoV-19_Australia_QLDID925_2020_EPI_ISL_418803	Australia
hCoV-19_Australia_QLDID926_2020_EPI_ISL_418804	Australia
hCoV-19_Australia_QLDID927_2020_EPI_ISL_418807	Australia
hCoV-19_Australia_QLDID928_2020_EPI_ISL_418808	Australia
hCoV-19_Australia_QLDID929_2020_EPI_ISL_420878	Australia
hCoV-19_Australia_QLDID931_2020_EPI_ISL_420879	Australia
hCoV-19_Australia_QLDID935_2020_EPI_ISL_436097_2020-03-25	Australia
hCoV-19_Australia_QLDID936_2020_EPI_ISL_436098_2020-03-23	Australia
hCoV-19_Australia_VIC-CBA1_2020_EPI_ISL_420855	Australia
hCoV-19_Australia_VIC-CBA2_2020_EPI_ISL_420876	Australia
hCoV-19_Australia_VIC-CBA3_2020_EPI_ISL_420877	Australia
hCoV-19_Australia_VIC-CBA4_2020_EPI_ISL_430064	Australia
hCoV-19_Australia_VIC-CBA5_2020_EPI_ISL_430065	Australia
hCoV-19_Australia_VIC-CBA6_2020_EPI_ISL_430066	Australia
hCoV-19_Australia_VIC01_2020_EPI_ISL_406844	Australia
hCoV-19_Australia_VIC02_2020_EPI_ISL_416410	Australia
hCoV-19_Australia_VIC03_2020_EPI_ISL_416411	Australia
hCoV-19_Australia_VIC04_2020_EPI_ISL_416412	Australia
hCoV-19_Australia_VIC05_2020_EPI_ISL_416413	Australia
hCoV-19_Australia_VIC06_2020_EPI_ISL_416414	Australia
hCoV-19_Australia_VIC07_2020_EPI_ISL_416415	Australia
hCoV-19_Australia_VIC08_2020_EPI_ISL_416514	Australia
hCoV-19_Australia_VIC09_2020_EPI_ISL_416515	Australia
hCoV-19_Australia_VIC1000_2020_EPI_ISL_430484	Australia
hCoV-19_Australia_VIC1001_2020_EPI_ISL_430485	Australia
hCoV-19_Australia_VIC1002_2020_EPI_ISL_430486	Australia
hCoV-19_Australia_VIC1003_2020_EPI_ISL_430487	Australia
hCoV-19_Australia_VIC1004_2020_EPI_ISL_430488	Australia
hCoV-19_Australia_VIC1005_2020_EPI_ISL_430491	Australia
hCoV-19_Australia_VIC1008_2020_EPI_ISL_430473	Australia
hCoV-19_Australia_VIC100_2020_EPI_ISL_419812	Australia
hCoV-19_Australia_VIC1010_2020_EPI_ISL_430560	Australia
hCoV-19_Australia_VIC1011_2020_EPI_ISL_430547	Australia
hCoV-19_Australia_VIC1012_2020_EPI_ISL_430548	Australia
hCoV-19_Australia_VIC1013_2020_EPI_ISL_430553	Australia
hCoV-19_Australia_VIC1014_2020_EPI_ISL_430555	Australia
hCoV-19_Australia_VIC1015_2020_EPI_ISL_430559	Australia
hCoV-19_Australia_VIC1016_2020_EPI_ISL_430476	Australia
hCoV-19_Australia_VIC1017_2020_EPI_ISL_430489	Australia
hCoV-19_Australia_VIC1018_2020_EPI_ISL_430490	Australia
hCoV-19_Australia_VIC101_2020_EPI_ISL_419813	Australia
hCoV-19_Australia_VIC1020_2020_EPI_ISL_430492	Australia
hCoV-19_Australia_VIC1021_2020_EPI_ISL_430493	Australia
hCoV-19_Australia_VIC1023_2020_EPI_ISL_430530	Australia
hCoV-19_Australia_VIC1024_2020_EPI_ISL_430531	Australia
hCoV-19_Australia_VIC1025_2020_EPI_ISL_430532	Australia
hCoV-19_Australia_VIC102_2020_EPI_ISL_419817	Australia
hCoV-19_Australia_VIC1030_2020_EPI_ISL_430664	Australia
hCoV-19_Australia_VIC1032_2020_EPI_ISL_430665	Australia
hCoV-19_Australia_VIC1033_2020_EPI_ISL_430537	Australia
hCoV-19_Australia_VIC1037_2020_EPI_ISL_430533	Australia
hCoV-19_Australia_VIC1038_2020_EPI_ISL_430534	Australia
hCoV-19_Australia_VIC1039_2020_EPI_ISL_430535	Australia
hCoV-19_Australia_VIC103_2020_EPI_ISL_419814	Australia
hCoV-19_Australia_VIC1041_2020_EPI_ISL_430536	Australia
hCoV-19_Australia_VIC1042_2020_EPI_ISL_430538	Australia
hCoV-19_Australia_VIC1043_2020_EPI_ISL_430539	Australia
hCoV-19_Australia_VIC1044_2020_EPI_ISL_430540	Australia
hCoV-19_Australia_VIC1045_2020_EPI_ISL_430546	Australia
hCoV-19_Australia_VIC1046_2020_EPI_ISL_430550	Australia
hCoV-19_Australia_VIC1047_2020_EPI_ISL_430561	Australia
hCoV-19_Australia_VIC1048_2020_EPI_ISL_430562	Australia
hCoV-19_Australia_VIC1049_2020_EPI_ISL_430563	Australia
hCoV-19_Australia_VIC104_2020_EPI_ISL_419818	Australia
hCoV-19_Australia_VIC1050_2020_EPI_ISL_430599	Australia
hCoV-19_Australia_VIC1054_2020_EPI_ISL_430666	Australia
hCoV-19_Australia_VIC1055_2020_EPI_ISL_430667	Australia
hCoV-19_Australia_VIC1056_2020_EPI_ISL_430669	Australia
hCoV-19_Australia_VIC1057_2020_EPI_ISL_430668	Australia
hCoV-19_Australia_VIC1059_2020_EPI_ISL_430541	Australia
hCoV-19_Australia_VIC105_2020_EPI_ISL_419819	Australia
hCoV-19_Australia_VIC1061_2020_EPI_ISL_430549	Australia
hCoV-19_Australia_VIC1062_2020_EPI_ISL_430578	Australia
hCoV-19_Australia_VIC1064_2020_EPI_ISL_430672	Australia
hCoV-19_Australia_VIC1067_2020_EPI_ISL_430670	Australia
hCoV-19_Australia_VIC1068_2020_EPI_ISL_430671	Australia
hCoV-19_Australia_VIC106_2020_EPI_ISL_419820	Australia
hCoV-19_Australia_VIC1071_2020_EPI_ISL_430581	Australia
hCoV-19_Australia_VIC1076_2020_EPI_ISL_430566	Australia
hCoV-19_Australia_VIC1078_2020_EPI_ISL_430564	Australia
hCoV-19_Australia_VIC1079_2020_EPI_ISL_430565	Australia
hCoV-19_Australia_VIC107_2020_EPI_ISL_419720	Australia
hCoV-19_Australia_VIC1080_2020_EPI_ISL_430579	Australia
hCoV-19_Australia_VIC1081_2020_EPI_ISL_430580	Australia
hCoV-19_Australia_VIC1085_2020_EPI_ISL_430587	Australia
hCoV-19_Australia_VIC1086_2020_EPI_ISL_430597	Australia
hCoV-19_Australia_VIC1087_2020_EPI_ISL_430574	Australia
hCoV-19_Australia_VIC1089_2020_EPI_ISL_430673	Australia
hCoV-19_Australia_VIC108_2020_EPI_ISL_419714	Australia
hCoV-19_Australia_VIC1091_2020_EPI_ISL_430568	Australia
hCoV-19_Australia_VIC1092_2020_EPI_ISL_430582	Australia
hCoV-19_Australia_VIC1094_2020_EPI_ISL_430583	Australia
hCoV-19_Australia_VIC1098_2020_EPI_ISL_430589	Australia
hCoV-19_Australia_VIC109_2020_EPI_ISL_419718	Australia
hCoV-19_Australia_VIC10_2020_EPI_ISL_416516	Australia
hCoV-19_Australia_VIC1103_2020_EPI_ISL_430584	Australia
hCoV-19_Australia_VIC1104_2020_EPI_ISL_430585	Australia
hCoV-19_Australia_VIC1105_2020_EPI_ISL_430586	Australia
hCoV-19_Australia_VIC1106_2020_EPI_ISL_430588	Australia
hCoV-19_Australia_VIC1107_2020_EPI_ISL_430590	Australia
hCoV-19_Australia_VIC1108_2020_EPI_ISL_430591	Australia
hCoV-19_Australia_VIC1109_2020_EPI_ISL_430618	Australia
hCoV-19_Australia_VIC110_2020_EPI_ISL_419716	Australia
hCoV-19_Australia_VIC1110_2020_EPI_ISL_430569	Australia
hCoV-19_Australia_VIC1111_2020_EPI_ISL_430570	Australia
hCoV-19_Australia_VIC1112_2020_EPI_ISL_430573	Australia
hCoV-19_Australia_VIC1113_2020_EPI_ISL_430575	Australia
hCoV-19_Australia_VIC1114_2020_EPI_ISL_430576	Australia
hCoV-19_Australia_VIC1115_2020_EPI_ISL_430577	Australia
hCoV-19_Australia_VIC1116_2020_EPI_ISL_430572	Australia
hCoV-19_Australia_VIC1117_2020_EPI_ISL_430571	Australia
hCoV-19_Australia_VIC1119_2020_EPI_ISL_430567	Australia
hCoV-19_Australia_VIC111_2020_EPI_ISL_419715	Australia
hCoV-19_Australia_VIC1120_2020_EPI_ISL_430594	Australia
hCoV-19_Australia_VIC1121_2020_EPI_ISL_430595	Australia
hCoV-19_Australia_VIC1127_2020_EPI_ISL_430608	Australia
hCoV-19_Australia_VIC112_2020_EPI_ISL_419821	Australia
hCoV-19_Australia_VIC1131_2020_EPI_ISL_430592	Australia
hCoV-19_Australia_VIC1132_2020_EPI_ISL_430593	Australia
