SequenceName	ClusterNumber
BetaCoV_South_Korea_KUMC01_2020_EPI_ISL_413017	-1
hCoV_19_Brazil_SPBR_03_2020_EPI_ISL_414014	-1
BetaCoV_Jiangsu_JS02_2020_EPI_ISL_411952	-1
hCov_19_Netherlands_NA_8_2020_EPI_ISL_415497	6
hCov_19_Netherlands_NA_26_2020_EPI_ISL_415483	6
hCov_19_Netherlands_NA_11_2020_EPI_ISL_415467	6
hCov19_France_Valence_425_2020_EPI_ISL_416746	6
hCoV_19_Netherlands_ZuidHolland_23_2020_EPI_ISL_414565	6
hCoV_19_Netherlands_ZuidHolland_20_2020_EPI_ISL_414562	6
hCoV_19_Netherlands_ZuidHolland_18_2020_EPI_ISL_414560	6
hCoV_19_Finland_FIN_313_2020_EPI_ISL_414641	6
hCoV_19_Scotland_EDB006_2020_EPI_ISL_415633	6
hCoV_19_Finland_FIN_318_2020_EPI_ISL_414644	6
hCoV_19_Belgium_ULG_3843_2020_EPI_ISL_417012	6
hCoV_19_Wales_PHW05_2020_EPI_ISL_414488	6
hCoV_19_Belgium_UMF_03025_2020_EPI_ISL_416472	6
hCoV_19_Belgium_ULG_6950_2020_EPI_ISL_417023	6
hCoV_19_Belgium_ULG_6948_2020_EPI_ISL_417022	6
hCoV_19_Belgium_ULG_6942_2020_EPI_ISL_417021	6
hCov_19_Netherlands_NoordBrabant_55_2020_EPI_ISL_415511	6
hCov_19_Netherlands_NA_9_2020_EPI_ISL_415498	6
hCov_19_Netherlands_NA_25_2020_EPI_ISL_415482	6
hCov_19_Netherlands_NA_19_2020_EPI_ISL_415475	6
hCov_19_Netherlands_NA_15_2020_EPI_ISL_415471	6
hCov_19_Netherlands_NA_12_2020_EPI_ISL_415468	6
hCoV_19_Switzerland_SZ1417_2020_EPI_ISL_415702	6
hCoV_19_Switzerland_GE1422_2020_EPI_ISL_415454	6
hCoV_19_Switzerland_BE6651_2020_EPI_ISL_415456	6
hCoV_19_Scotland_EDB007_2020_EPI_ISL_415634	6
hCoV_19_Peru_010_2020_EPI_ISL_415787	6
hCoV_19_Nigeria_Lagos01_2020_EPI_ISL_413550	6
hCoV_19_Netherlands_ZuidHolland_6_2020_EPI_ISL_414466	6
hCoV_19_Netherlands_ZuidHolland_2_2020_EPI_ISL_414556	6
hCoV_19_Netherlands_ZuidHolland_28_2020_EPI_ISL_415532	6
hCoV_19_Netherlands_ZuidHolland_26_2020_EPI_ISL_415530	6
hCoV_19_Netherlands_ZuidHolland_19_2020_EPI_ISL_414561	6
hCoV_19_Netherlands_ZuidHolland_15_2020_EPI_ISL_414557	6
hCoV_19_Netherlands_Utrecht_2_2020_EPI_ISL_414436	6
hCoV_19_Netherlands_Utrecht_1_2020_EPI_ISL_414435	6
hCoV_19_Netherlands_Utrecht_15_2020_EPI_ISL_414554	6
hCoV_19_Netherlands_Utrecht_14_2020_EPI_ISL_414464	6
hCoV_19_Netherlands_NoordHolland_2_2020_EPI_ISL_414549	6
hCoV_19_Netherlands_NoordBrabant_3_2020_EPI_ISL_414429	6
hCoV_19_Netherlands_NoordBrabant_36_2020_EPI_ISL_414545	6
hCoV_19_Netherlands_Limburg_5_2020_EPI_ISL_414448	6
hCoV_19_Netherlands_Limburg_3_2020_EPI_ISL_414425	6
hCoV_19_Netherlands_Eindhoven_1363782_2020_EPI_ISL_413571	6
hCoV_19_Brazil_BA_312_2020_EPI_ISL_415105	6
hCoV_19_Belgium_ULG_6457_2020_EPI_ISL_417015	6
hCoV_19_Belgium_ULG_6216_2020_EPI_ISL_417014	6
hCoV_19_Belgium_QKJ_03015_2020_EPI_ISL_415158	6
hCoV_19_Belgium_GMH_03022_2020_EPI_ISL_416468	6
hCoV_19_Belgium_DBD_03024_2020_EPI_ISL_416471	6
hCoV_19_Belgium_DBA_03032_2020_EPI_ISL_416475	6
hCoV_19_Belgium_BC_03016_2020_EPI_ISL_415157	6
BetaCoV_Switzerland_1000477797_2020_EPI_ISL_413023	6
hCov_19_Netherlands_NoordBrabant_67_2020_EPI_ISL_415523	6
hCov_19_Netherlands_NoordBrabant_58_2020_EPI_ISL_415514	6
hCov_19_Netherlands_NoordBrabant_45_2020_EPI_ISL_415502	6
hCov_19_Netherlands_NA_7_2020_EPI_ISL_415496	6
hCov_19_Netherlands_NA_2_2020_EPI_ISL_415476	6
hCoV_19_Wales_PHW04_2020_EPI_ISL_415041	6
hCoV_19_Wales_PHW03_2020_EPI_ISL_414486	6
hCoV_19_Vietnam_CM296_2020_EPI_ISL_416431	6
hCoV_19_Vietnam_CM295_2020_EPI_ISL_416430	6
hCoV_19_Vietnam_39607_2020_EPI_ISL_416428	6
hCoV_19_United_Kingdom_200990723_2020_EPI_ISL_414012	6
hCoV_19_USA_WA_UW159_2020_EPI_ISL_416697	6
hCoV_19_USA_WA_UW138_2020_EPI_ISL_416676	6
hCoV_19_Switzerland_VD5615_2020_EPI_ISL_414023	6
hCoV_19_Switzerland_VD0503_2020_EPI_ISL_415459	6
hCoV_19_Switzerland_TI2045_2020_EPI_ISL_415703	6
hCoV_19_Switzerland_GR3043_2020_EPI_ISL_415699	6
hCoV_19_Switzerland_GR2988_2020_EPI_ISL_415698	6
hCoV_19_Switzerland_GE9586_2020_EPI_ISL_414022	6
hCoV_19_Switzerland_GE8102_2020_EPI_ISL_415458	6
hCoV_19_Switzerland_GE3895_2020_EPI_ISL_413997	6
hCoV_19_Switzerland_GE1402_2020_EPI_ISL_415700	6
hCoV_19_Switzerland_GE0199_2020_EPI_ISL_415455	6
hCoV_19_Switzerland_BS0914_2020_EPI_ISL_415701	6
hCoV_19_Switzerland_BL0902_2020_EPI_ISL_414021	6
hCoV_19_Switzerland_AG7120_2020_EPI_ISL_415457	6
hCoV_19_Spain_Valencia7_2020_EPI_ISL_416486	6
hCoV_19_Scotland_EDB009_2020_EPI_ISL_415636	6
hCoV_19_Scotland_EDB008_2020_EPI_ISL_415635	6
hCoV_19_Scotland_EDB005_2020_EPI_ISL_415632	6
hCoV_19_Portugal_CV62_2020_EPI_ISL_413647	6
hCoV_19_New_Zealand_20VR019_2020_EPI_ISL_416520	6
hCoV_19_New_Zealand_20VR0189_2020_EPI_ISL_416519	6
hCoV_19_Netherlands_ZuidHolland_29_2020_EPI_ISL_415533	6
hCoV_19_Netherlands_ZuidHolland_25_2020_EPI_ISL_415529	6
hCoV_19_Netherlands_ZuidHolland_24_2020_EPI_ISL_414566	6
hCoV_19_Netherlands_ZuidHolland_22_2020_EPI_ISL_414564	6
hCoV_19_Netherlands_ZuidHolland_1_2020_EPI_ISL_414444	6
hCoV_19_Netherlands_ZuidHolland_14_2020_EPI_ISL_414471	6
hCoV_19_Netherlands_ZuidHolland_13_2020_EPI_ISL_414470	6
hCoV_19_Netherlands_ZuidHolland_11_2020_EPI_ISL_414469	6
hCoV_19_Netherlands_ZuidHolland_10_2020_EPI_ISL_414446	6
hCoV_19_Netherlands_Utrecht_7_2020_EPI_ISL_414440	6
hCoV_19_Netherlands_Utrecht_5_2020_EPI_ISL_414439	6
hCoV_19_Netherlands_Utrecht_4_2020_EPI_ISL_414438	6
hCoV_19_Netherlands_Utrecht_13_2020_EPI_ISL_414552	6
hCoV_19_Netherlands_Utrecht_13_2020_EPI_ISL_414463	6
hCoV_19_Netherlands_Utrecht_10_2020_EPI_ISL_414442	6
hCoV_19_Netherlands_Tilburg_1364286_2020_EPI_ISL_413587	6
hCoV_19_Netherlands_Rotterdam_1364740_2020_EPI_ISL_413584	6
hCoV_19_Netherlands_Overijssel_2_2020_EPI_ISL_414460	6
hCoV_19_Netherlands_Overijssel_1_2020_EPI_ISL_414434	6
hCoV_19_Netherlands_Nootdorp_1364222_2020_EPI_ISL_413579	6
hCoV_19_Netherlands_NoordHolland_1_2020_EPI_ISL_414433	6
hCoV_19_Netherlands_NoordBrabant_39_2020_EPI_ISL_414548	6
hCoV_19_Netherlands_NoordBrabant_2_2020_EPI_ISL_414449	6
hCoV_19_Netherlands_NoordBrabant_26_2020_EPI_ISL_414535	6
hCoV_19_Netherlands_NoordBrabant_15_2020_EPI_ISL_414455	6
hCoV_19_Netherlands_NoordBrabant_14_2020_EPI_ISL_414454	6
hCoV_19_Netherlands_Limburg_2_2020_EPI_ISL_414424	6
hCoV_19_Netherlands_Helmond_1363548_2020_EPI_ISL_413574	6
hCoV_19_Netherlands_Gelderland_3_2020_EPI_ISL_415463	6
hCoV_19_Netherlands_Gelderland_1_2020_EPI_ISL_414423	6
hCoV_19_Netherlands_Delft_1363424_2020_EPI_ISL_413569	6
hCoV_19_Netherlands_Berlicum_1363564_2020_EPI_ISL_413565	6
hCoV_19_Ireland_Dublin_19072_2020_EPI_ISL_414584	6
hCoV_19_Germany_NRW_011_2020_EPI_ISL_414507	6
hCoV_19_Finland_FIN_508_2020_EPI_ISL_414643	6
hCoV_19_Finland_FIN03032020C_2020_EPI_ISL_413604	6
hCoV_19_England_SHEF_BFD27_2020_EPI_ISL_416737	6
hCoV_19_England_SHEF_BFD18_2020_EPI_ISL_416736	6
hCoV_19_England_SHEF_BFCFD_2020_EPI_ISL_416734	6
hCoV_19_England_SHEF_BFCDF_2020_EPI_ISL_416732	6
hCoV_19_England_SHEF_BFCB1_2020_EPI_ISL_416730	6
hCoV_19_England_20102000206_2020_EPI_ISL_415145	6
hCoV_19_England_20100024006_2020_EPI_ISL_415138	6
hCoV_19_England_20099038206_2020_EPI_ISL_415129	6
hCoV_19_Denmark_SSI_01_2020_EPI_ISL_416142	6
hCoV_19_CzechRepublic_ChVir1912_2020_EPI_ISL_416743	6
hCoV_19_Chile_Santiago_2_2020_EPI_ISL_414580	6
hCoV_19_Brazil_SPBR_14_2020_EPI_ISL_416036	6
hCoV_19_Brazil_SPBR_13_2020_EPI_ISL_416035	6
hCoV_19_Brazil_SPBR_12_2020_EPI_ISL_416034	6
hCoV_19_Brazil_SPBR_07_2020_EPI_ISL_416028	6
hCoV_19_Belgium_ULG_3000_2020_EPI_ISL_417004	6
hCoV_19_Belgium_ULG_2971_2020_EPI_ISL_416997	6
gt_hCoV_19_Brazil_SPBR_08_2020_EPI_ISL_416029	6
BetaCoV_Switzerland_1000477806_2020_EPI_ISL_413024	6
BetaCoV_Switzerland_1000477796_2020_EPI_ISL_413022	6
BetaCoV_Switzerland_1000477757_2020_EPI_ISL_413021	6
BetaCoV_Mexico_CDMX_InDRE_01_2020_EPI_ISL_412972	6
BetaCoV_Germany_Baden_Wuerttemberg_1_2020_EPI_ISL_412912	6
BetaCoV_Scotland_CVR01_2020_EPI_ISL_413221	6
BetaCoV_Switzerland_1000477377_2020_EPI_ISL_413020	6
hCoV_19_Brazil_SPBR_04_2020_EPI_ISL_414017	6
hCoV_19_Hungary_49_2020_EPI_ISL_416744	-1
BetaCoV_USA_TX1_2020_EPI_ISL_411956	-1
BetaCoV_India_1_27_2020_EPI_ISL_413522	-1
hCoV_19_USA_WA_UW93_2020_EPI_ISL_416449	7
hCoV_19_USA_WA_UW168_2020_EPI_ISL_416706	7
hCoV_19_Saudi_Arabia_KAIMRC_Alghoribi_2020_EPI_ISL_416432	7
hCoV_19_Hangzhou_ZJU_06_2020_EPI_ISL_416047	8
hCoV_19_China_Shanghai_SH0047_EPI_ISL_416355	8
hCoV_19_China_Shanghai_SH0094_EPI_ISL_416390	-1
hCoV_19_China_Shanghai_SH0058_EPI_ISL_416365	-1
hCov_19_Netherlands_NA_23_2020_EPI_ISL_415480	9
hCoV_19_Netherlands_ZuidHolland_9_2020_EPI_ISL_414445	9
hCoV_19_Netherlands_ZuidHolland_5_2020_EPI_ISL_414465	9
hCoV_19_Belgium_DB_03023_2020_EPI_ISL_416470	-1
hCoV_19_Netherlands_Utrecht_1363564_2020_EPI_ISL_413588	-1
hCoV_19_Netherlands_Utrecht_6_2020_EPI_ISL_414461	10
hCoV_19_Netherlands_Utrecht_1363628_2020_EPI_ISL_413589	10
hCoV_19_Chile_Talca_2_2020_EPI_ISL_414578	11
hCoV_19_Chile_Talca_1_2020_EPI_ISL_414577	11
BetaCoV_Anhui_SZ005_2020_EPI_ISL_413485	-1
hCoV_19_China_Shanghai_SH0091_EPI_ISL_416388	-1
hCoV_19_Guangdong_DG_S6_P0055_2020_EPI_ISL_413895	-1
hCoV_19_Guangdong_DG_S41_P0056_2020_EPI_ISL_413896	-1
hCoV_19_Guangdong_DG_S2_P0054_2020_EPI_ISL_413894	-1
hCoV_19_China_GZ_S6_P0050_2020_EPI_ISL_413873	-1
hCoV_19_England_20102000106_2020_EPI_ISL_415144	-1
hCoV_19_China_Shanghai_SH0037_EPI_ISL_416346	-1
hCoV_19_China_MM_S1_P0048_2020_EPI_ISL_413871	-1
BetaCoV_Wuhan_WH05_2020_EPI_ISL_408978	-1
hCoV_19_Guangdong_FS_S29_P0051_2020_EPI_ISL_413891	-1
hCoV_19_China_Shanghai_SH0098_EPI_ISL_416391	-1
hCoV_19_Netherlands_Utrecht_19_2020_EPI_ISL_415528	-1
hCoV_19_China_Shanghai_SH0017_EPI_ISL_416328	-1
hCoV_19_Australia_VIC06_2020_EPI_ISL_416414	-1
hCoV_19_China_SZ_N59_P0049_2020_EPI_ISL_413872	-1
hCoV_19_USA_CT_Yale_008_2020_EPI_ISL_416422	12
hCoV_19_USA_CT_Yale_007_2020_EPI_ISL_416421	12
hCoV_19_Wales_PHW38_2020_EPI_ISL_415538	-1
hCoV_19_China_Shanghai_SH0038_EPI_ISL_416347	-1
hCoV_19_Belgium_ULG_3163_2020_EPI_ISL_417006	-1
hCoV_19_Australia_NSW12_2020_EPI_ISL_413598	13
hCoV_19_Australia_NSW09_2020_EPI_ISL_413595	13
hCoV_19_Singapore_12_2020_EPI_ISL_414378	-1
hCov19_France_Lyon_508_2020_EPI_ISL_416748	-1
hCoV_19_Taiwan_CGMH_CGU_04_2020_EPI_ISL_415742	-1
hCoV_19_Shandong_LY004_2020_EPI_ISL_414937	-1
hCoV_19_Netherlands_NoordBrabant_5_2020_EPI_ISL_414430	-1
hCoV_19_Japan_DP0690_2020_EPI_ISL_416615	-1
hCoV_19_Japan_DP0654_2020_EPI_ISL_416613	-1
hCoV_19_China_Shanghai_SH0112_EPI_ISL_416400	-1
hCov_19_Georgia_Tb_82_2020_EPI_ISL_415644	-1
hCoV_19_USA_WA_UW85_2020_EPI_ISL_416441	-1
hCoV_19_USA_WA_UW19_2020_EPI_ISL_414367	-1
hCoV_19_USA_WA_UW163_2020_EPI_ISL_416701	-1
hCoV_19_USA_WA_UW148_2020_EPI_ISL_416686	-1
hCoV_19_USA_WA_UW142_2020_EPI_ISL_416680	-1
hCoV_19_USA_WA_UW114_2020_EPI_ISL_416652	-1
BetaCoV_Korea_KCDC05_2020_EPI_ISL_412869	-1
hCoV_19_China_Shanghai_SH0045_EPI_ISL_416354	-1
hCoV_19_Japan_DP0481_2020_EPI_ISL_416605	-1
hCoV_19_Wales_PHW35_2020_EPI_ISL_416024	14
hCoV_19_England_SHEF_BFD45_2020_EPI_ISL_416739	14
hCoV_19_England_SHEF_BFD36_2020_EPI_ISL_416738	14
hCoV_19_China_2020XN4373_P0039_2020_EPI_ISL_413851	-1
hCoV_19_Wales_PHW27_2020_EPI_ISL_415655	-1
hCoV_19_Taiwan_CGMH_CGU_05_2020_EPI_ISL_415743	15
hCoV_19_Taiwan_CGMH_CGU_03_2020_EPI_ISL_415741	15
hCoV_19_USA_WI2_2020_EPI_ISL_416489	-1
hCoV_19_Netherlands_NoordBrabant_34_2020_EPI_ISL_414543	-1
hCoV_19_France_HF1989_2020_EPI_ISL_414636	-1
hCoV_19_France_HF1871_2020_EPI_ISL_414630	-1
hCoV_19_USA_WA_UW137_2020_EPI_ISL_416675	-1
hCoV_19_England_200990002_2020_EPI_ISL_414522	-1
hCoV_19_France_GE1977_2020_EPI_ISL_414632	-1
hCoV_19_China_Shanghai_SH0060_EPI_ISL_416367	-1
hCoV_19_Belgium_ULG_6670_2020_EPI_ISL_417018	-1
hCoV_19_Belgium_ULG_3683_2020_EPI_ISL_417011	16
hCoV_19_Belgium_ULG_3665_2020_EPI_ISL_417009	16
hCoV_19_Belgium_ULG_3662_2020_EPI_ISL_417008	16
hCoV_19__Belgium_SN_03031_2020_EPI_ISL_416469	-1
hCoV_19_Kuwait_KU09_2020_EPI_ISL_416541	-1
hCoV_19_Australia_VIC04_2020_EPI_ISL_416412	-1
hCoV_19_USA_WA_UW62_2020_EPI_ISL_415627	-1
hCoV_19_USA_WA_UW50_2020_EPI_ISL_415615	-1
hCoV_19_USA_UC_CDPH_UC11_2020_EPI_ISL_413931	17
hCoV_19_USA_MN1_MDH1_2020_EPI_ISL_414588	17
hCoV_19_USA_CA_CDPH_UC9_2020_EPI_ISL_413928	17
hCoV_19_USA_CA_CDPH_UC7_2020_EPI_ISL_413925	17
hCoV_19_USA_CA_CDPH_UC8_2020_EPI_ISL_413926	17
BetaCoV_South_Korea_KUMC02_2020_EPI_ISL_413018	-1
BetaCoV_Shandong_IVDC_SD_001_2020_EPI_ISL_408482	-1
BetaCoV_USA_MA1_2020_EPI_ISL_409067	-1
BetaCoV_Korea_KCDC24_2020_EPI_ISL_412873	-1
hCoV_19_France_B2340_2020_EPI_ISL_416507	18
hCoV_19_France_B2334_2020_EPI_ISL_416503	18
BetaCoV_India_1_31_2020_EPI_ISL_413523	-1
hCoV_19_China_Shanghai_SH0008_EPI_ISL_416321	-1
hCoV_19_China_Shanghai_SH0059_EPI_ISL_416366	-1
hCov_19_Netherlands_NA_21_2020_EPI_ISL_415478	19
hCoV_19_United_Kingdom_200990725_2020_EPI_ISL_414007	19
hCoV_19_United_Kingdom_200990724_2020_EPI_ISL_414006	19
hCoV_19_United_Kingdom_200940527_2020_EPI_ISL_414005	19
hCoV_19_USA_NY_NYUMC1_2020_EPI_ISL_414639	19
hCoV_19_Scotland_CVR07_2020_EPI_ISL_415630	19
hCoV_19_England_20102068506_2020_EPI_ISL_415149	19
hCoV_19_England_20100001406_2020_EPI_ISL_415132	19
hCoV_19_Canada_BC_78548_2020_EPI_ISL_415590	19
hCoV_19_Brazil_ES_225_2020_EPI_ISL_415128	19
BetaCoV_England_03_2020_EPI_ISL_412116	19
hCoV_19_USA_UPHL_02_2020_EPI_ISL_415540	-1
hCoV_19_USA_NY1_PV08001_2020_EPI_ISL_414476	-1
hCoV_19_Japan_DP0457_2020_EPI_ISL_416601	-1
hCoV_19_Germany_BavPat2_2020_EPI_ISL_414520	-1
hCoV_19_Japan_DP0287_2020_EPI_ISL_416589	-1
hCoV_19_Canada_BC_17397_2020_EPI_ISL_415580	-1
hCoV_19_China_Shanghai_SH0033_EPI_ISL_416342	-1
hCoV_19_Canada_BC_13297_2020_EPI_ISL_415578	-1
hCoV_19_USA_CruiseA_23_2020_EPI_ISL_414482	20
hCoV_19_USA_CruiseA_21_2020_EPI_ISL_414480	20
hCoV_19_Japan_DP0065_2020_EPI_ISL_416570	20
hCoV_19_United_Kingdom_200960041_2020_EPI_ISL_414008	21
hCoV_19_New_Zealand_20VR0206_2020_EPI_ISL_416526	21
hCoV_19_Canada_BC_69243_2020_EPI_ISL_415577	21
hCoV_19_USA_WA_UW22_2020_EPI_ISL_414591	21
hCoV_19_Australia_NSW14_2020_EPI_ISL_413600	21
BetaCoV_Australia_NSW05_2020_EPI_ISL_412975	21
hCoV_19_Kuwait_KU17_2020_EPI_ISL_416542	21
hCoV_19_Canada_BC_02421_2020_EPI_ISL_415581	21
hCoV_19_Australia_QLD09_2020_EPI_ISL_414414	21
_BetaCoV_Wuhan_HBCDC_HB_05_2020_EPI_ISL_412981	21
BetaCoV_New_Zealand_01_2020_EPI_ISL_413490	21
BetaCoV_Canada_BC_37_0_2_2020_EPI_ISL_412965	21
BetaCoV_Australia_NSW07_2020_EPI_ISL_413214	21
hCoV_19_Kuwait_KU18_2020_EPI_ISL_416543	21
hCoV_19_Kuwait_KU12_2020_EPI_ISL_416458	21
hCoV_19_Canada_BC_66353_2020_EPI_ISL_415587	21
hCoV_19_England_20100023206_2020_EPI_ISL_415137	21
hCoV_19_Australia_NSW11_2020_EPI_ISL_413597	21
BetaCoV_Australia_NSW06_2020_EPI_ISL_413213	21
hCoV_19_Canada_BC_65034_2020_EPI_ISL_415585	21
hCoV_19_China_Shanghai_SH0023_EPI_ISL_416332	21
hCoV_19_China_Shanghai_SH0022_EPI_ISL_416331	21
hCoV_19_China_Shanghai_SH0070_EPI_ISL_416373	21
hCoV_19_Guangdong_ZH_N22_P0059_2020_EPI_ISL_413899	21
hCoV_19_Australia_NSW13_2020_EPI_ISL_413599	-1
hCoV_19_USA_CruiseA_14_2020_EPI_ISL_413619	-1
hCoV_19_China_Shanghai_SH0114_EPI_ISL_416401	-1
hCoV_19_China_Shanghai_SH0110_EPI_ISL_416399	-1
hCoV_19_China_Shanghai_SH0027_EPI_ISL_416336	-1
hCoV_19_China_Shanghai_SH0007_EPI_ISL_416320	-1
BetaCoV_Wuhan_IPBCAMS_WH_01_2019_EPI_ISL_402123	-1
hCoV_19_Guangzhou_GZMU0014_2020_EPI_ISL_414692	22
hCoV_19_China_GD2020139_P0007_2020_EPI_ISL_413882	22
hCoV_19_China_2020XN4448_P0002_2020_EPI_ISL_413857	22
hCoV_19_China_Shanghai_SH0039_EPI_ISL_416348	-1
hCoV_19_China_Shanghai_SH0048_EPI_ISL_416356	23
BetaCoV_China_IQTC02_2020_EPI_ISL_412967	23
hCoV_19_Australia_VIC11_2020_EPI_ISL_416517	-1
hCov_19_Netherlands_NA_28_2020_EPI_ISL_415485	24
hCov19_France_Pollionay_1733_2020_EPI_ISL_416745	24
hCoV_19_USA_WA_UW166_2020_EPI_ISL_416704	24
hCov_19_Netherlands_NA_31_2020_EPI_ISL_415488	24
