MT072688_1	Nepal
hCoV_19_Australia_VIC17_2020_EPI_ISL_419736	Australia
hCoV_19_Australia_VIC180_2020_EPI_ISL_419877	Australia
hCoV_19_Australia_VIC181_2020_EPI_ISL_419878	Australia
hCoV_19_Australia_VIC183_2020_EPI_ISL_419879	Australia
hCoV_19_Australia_VIC184_2020_EPI_ISL_419880	Australia
hCoV_19_Australia_VIC185_2020_EPI_ISL_419881	Australia
hCoV_19_Australia_VIC186_2020_EPI_ISL_419882	Australia
hCoV_19_Australia_VIC187_2020_EPI_ISL_419883	Australia
hCoV_19_Australia_VIC188_2020_EPI_ISL_419884	Australia
hCoV_19_Australia_VIC189_2020_EPI_ISL_419885	Australia
hCoV_19_Australia_VIC18_2020_EPI_ISL_419737	Australia
hCoV_19_Australia_VIC190_2020_EPI_ISL_419886	Australia
hCoV_19_Australia_VIC191_2020_EPI_ISL_419887	Australia
hCoV_19_Australia_VIC192_2020_EPI_ISL_419888	Australia
hCoV_19_Australia_VIC193_2020_EPI_ISL_419889	Australia
hCoV_19_Australia_VIC194_2020_EPI_ISL_419890	Australia
hCoV_19_Australia_VIC195_2020_EPI_ISL_419891	Australia
hCoV_19_Australia_VIC196_2020_EPI_ISL_419892	Australia
hCoV_19_Australia_VIC197_2020_EPI_ISL_419893	Australia
hCoV_19_Australia_VIC198_2020_EPI_ISL_419894	Australia
hCoV_19_Australia_VIC199_2020_EPI_ISL_419895	Australia
hCoV_19_Australia_VIC19_2020_EPI_ISL_419738	Australia
hCoV_19_Australia_VIC201_2020_EPI_ISL_419896	Australia
hCoV_19_Australia_VIC202_2020_EPI_ISL_419897	Australia
hCoV_19_Australia_VIC203_2020_EPI_ISL_419898	Australia
hCoV_19_Australia_VIC204_2020_EPI_ISL_419899	Australia
hCoV_19_Australia_VIC205_2020_EPI_ISL_419900	Australia
hCoV_19_Australia_VIC206_2020_EPI_ISL_419901	Australia
hCoV_19_Australia_VIC207_2020_EPI_ISL_419902	Australia
hCoV_19_Australia_VIC208_2020_EPI_ISL_419903	Australia
hCoV_19_Australia_VIC209_2020_EPI_ISL_419904	Australia
hCoV_19_Australia_VIC20_2020_EPI_ISL_419741	Australia
hCoV_19_Australia_VIC210_2020_EPI_ISL_419905	Australia
hCoV_19_Australia_VIC211_2020_EPI_ISL_419906	Australia
hCoV_19_Australia_VIC212_2020_EPI_ISL_419907	Australia
hCoV_19_Australia_VIC213_2020_EPI_ISL_419908	Australia
hCoV_19_Australia_VIC214_2020_EPI_ISL_419909	Australia
hCoV_19_Australia_VIC215_2020_EPI_ISL_419910	Australia
hCoV_19_Australia_VIC216_2020_EPI_ISL_419911	Australia
hCoV_19_Australia_VIC217_2020_EPI_ISL_419912	Australia
hCoV_19_Australia_VIC218_2020_EPI_ISL_419913	Australia
hCoV_19_Australia_VIC219_2020_EPI_ISL_419914	Australia
hCoV_19_Australia_VIC21_2020_EPI_ISL_419740	Australia
hCoV_19_Australia_VIC220_2020_EPI_ISL_419915	Australia
hCoV_19_Australia_VIC221_2020_EPI_ISL_419916	Australia
hCoV_19_Australia_VIC222_2020_EPI_ISL_419917	Australia
hCoV_19_Australia_VIC223_2020_EPI_ISL_419918	Australia
hCoV_19_Australia_VIC224_2020_EPI_ISL_419919	Australia
hCoV_19_Australia_VIC225_2020_EPI_ISL_419920	Australia
hCoV_19_Australia_VIC226_2020_EPI_ISL_419921	Australia
hCoV_19_Australia_VIC227_2020_EPI_ISL_419922	Australia
hCoV_19_Australia_VIC228_2020_EPI_ISL_419923	Australia
hCoV_19_Australia_VIC229_2020_EPI_ISL_419924	Australia
hCoV_19_Australia_VIC22_2020_EPI_ISL_419742	Australia
hCoV_19_Australia_VIC230_2020_EPI_ISL_419925	Australia
hCoV_19_Australia_VIC231_2020_EPI_ISL_419926	Australia
hCoV_19_Australia_VIC232_2020_EPI_ISL_419927	Australia
hCoV_19_Australia_VIC233_2020_EPI_ISL_419928	Australia
hCoV_19_Australia_VIC234_2020_EPI_ISL_419929	Australia
hCoV_19_Australia_VIC235_2020_EPI_ISL_419930	Australia
hCoV_19_Australia_VIC236_2020_EPI_ISL_419931	Australia
hCoV_19_Australia_VIC237_2020_EPI_ISL_419932	Australia
hCoV_19_Australia_VIC238_2020_EPI_ISL_419933	Australia
hCoV_19_Australia_VIC239_2020_EPI_ISL_419934	Australia
hCoV_19_Australia_VIC23_2020_EPI_ISL_419743	Australia
hCoV_19_Australia_VIC240_2020_EPI_ISL_419935	Australia
hCoV_19_Australia_VIC241_2020_EPI_ISL_419936	Australia
hCoV_19_Australia_VIC242_2020_EPI_ISL_419937	Australia
hCoV_19_Australia_VIC243_2020_EPI_ISL_419938	Australia
hCoV_19_Australia_VIC244_2020_EPI_ISL_419939	Australia
hCoV_19_Australia_VIC245_2020_EPI_ISL_419940	Australia
hCoV_19_Australia_VIC246_2020_EPI_ISL_419941	Australia
hCoV_19_Australia_VIC247_2020_EPI_ISL_419942	Australia
hCoV_19_Australia_VIC248_2020_EPI_ISL_419943	Australia
hCoV_19_Australia_VIC249_2020_EPI_ISL_419944	Australia
hCoV_19_Australia_VIC24_2020_EPI_ISL_419739	Australia
hCoV_19_Australia_VIC250_2020_EPI_ISL_419945	Australia
hCoV_19_Australia_VIC251_2020_EPI_ISL_419946	Australia
hCoV_19_Australia_VIC252_2020_EPI_ISL_419947	Australia
hCoV_19_Australia_VIC253_2020_EPI_ISL_419948	Australia
hCoV_19_Australia_VIC254_2020_EPI_ISL_419949	Australia
hCoV_19_Australia_VIC256_2020_EPI_ISL_420036	Australia
hCoV_19_Australia_VIC257_2020_EPI_ISL_419950	Australia
hCoV_19_Australia_VIC258_2020_EPI_ISL_419951	Australia
hCoV_19_Australia_VIC259_2020_EPI_ISL_419952	Australia
hCoV_19_Australia_VIC25_2020_EPI_ISL_419744	Australia
hCoV_19_Australia_VIC260_2020_EPI_ISL_419953	Australia
hCoV_19_Australia_VIC261_2020_EPI_ISL_419954	Australia
hCoV_19_Australia_VIC262_2020_EPI_ISL_419955	Australia
hCoV_19_Australia_VIC263_2020_EPI_ISL_419956	Australia
hCoV_19_Australia_VIC264_2020_EPI_ISL_419957	Australia
hCoV_19_Australia_VIC265_2020_EPI_ISL_419958	Australia
hCoV_19_Australia_VIC266_2020_EPI_ISL_419959	Australia
hCoV_19_Australia_VIC267_2020_EPI_ISL_419960	Australia
hCoV_19_Australia_VIC268_2020_EPI_ISL_419961	Australia
hCoV_19_Australia_VIC269_2020_EPI_ISL_419962	Australia
hCoV_19_Australia_VIC26_2020_EPI_ISL_419745	Australia
hCoV_19_Australia_VIC270_2020_EPI_ISL_419963	Australia
hCoV_19_Australia_VIC271_2020_EPI_ISL_419964	Australia
hCoV_19_Australia_VIC272_2020_EPI_ISL_419965	Australia
hCoV_19_Australia_VIC273_2020_EPI_ISL_419966	Australia
hCoV_19_Australia_VIC274_2020_EPI_ISL_419967	Australia
hCoV_19_Australia_VIC275_2020_EPI_ISL_419968	Australia
hCoV_19_Australia_VIC276_2020_EPI_ISL_419969	Australia
hCoV_19_Australia_VIC277_2020_EPI_ISL_419970	Australia
hCoV_19_Australia_VIC278_2020_EPI_ISL_419971	Australia
hCoV_19_Australia_VIC279_2020_EPI_ISL_419972	Australia
hCoV_19_Australia_VIC27_2020_EPI_ISL_419746	Australia
hCoV_19_Australia_VIC280_2020_EPI_ISL_419973	Australia
hCoV_19_Australia_VIC283_2020_EPI_ISL_419974	Australia
hCoV_19_Australia_VIC284_2020_EPI_ISL_419975	Australia
hCoV_19_Australia_VIC285_2020_EPI_ISL_419976	Australia
hCoV_19_Australia_VIC286_2020_EPI_ISL_419977	Australia
hCoV_19_Australia_VIC287_2020_EPI_ISL_419978	Australia
hCoV_19_Australia_VIC288_2020_EPI_ISL_419979	Australia
hCoV_19_Australia_VIC289_2020_EPI_ISL_419980	Australia
hCoV_19_Australia_VIC28_2020_EPI_ISL_419747	Australia
hCoV_19_Australia_VIC290_2020_EPI_ISL_419981	Australia
hCoV_19_Australia_VIC291_2020_EPI_ISL_419982	Australia
hCoV_19_Australia_VIC292_2020_EPI_ISL_419983	Australia
hCoV_19_Australia_VIC293_2020_EPI_ISL_419984	Australia
hCoV_19_Australia_VIC294_2020_EPI_ISL_419985	Australia
hCoV_19_Australia_VIC295_2020_EPI_ISL_419986	Australia
hCoV_19_Australia_VIC296_2020_EPI_ISL_419987	Australia
hCoV_19_Australia_VIC297_2020_EPI_ISL_419988	Australia
hCoV_19_Australia_VIC298_2020_EPI_ISL_419989	Australia
hCoV_19_Australia_VIC299_2020_EPI_ISL_419990	Australia
hCoV_19_Australia_VIC29_2020_EPI_ISL_419748	Australia
hCoV_19_Australia_VIC300_2020_EPI_ISL_419991	Australia
hCoV_19_Australia_VIC301_2020_EPI_ISL_419992	Australia
hCoV_19_Australia_VIC302_2020_EPI_ISL_419993	Australia
hCoV_19_Australia_VIC303_2020_EPI_ISL_419994	Australia
hCoV_19_Australia_VIC304_2020_EPI_ISL_419995	Australia
hCoV_19_Australia_VIC305_2020_EPI_ISL_419996	Australia
hCoV_19_Australia_VIC306_2020_EPI_ISL_419997	Australia
hCoV_19_Australia_VIC307_2020_EPI_ISL_419998	Australia
hCoV_19_Australia_VIC308_2020_EPI_ISL_419999	Australia
hCoV_19_Australia_VIC309_2020_EPI_ISL_420000	Australia
hCoV_19_Australia_VIC30_2020_EPI_ISL_419749	Australia
hCoV_19_Australia_VIC310_2020_EPI_ISL_420001	Australia
hCoV_19_Australia_VIC311_2020_EPI_ISL_420002	Australia
hCoV_19_Australia_VIC312_2020_EPI_ISL_420003	Australia
hCoV_19_Australia_VIC313_2020_EPI_ISL_420004	Australia
hCoV_19_Australia_VIC314_2020_EPI_ISL_420005	Australia
hCoV_19_Australia_VIC315_2020_EPI_ISL_420006	Australia
hCoV_19_Australia_VIC316_2020_EPI_ISL_420007	Australia
hCoV_19_Australia_VIC317_2020_EPI_ISL_420008	Australia
hCoV_19_Australia_VIC318_2020_EPI_ISL_420009	Australia
hCoV_19_Australia_VIC319_2020_EPI_ISL_420010	Australia
hCoV_19_Australia_VIC31_2020_EPI_ISL_419750	Australia
hCoV_19_Australia_VIC320_2020_EPI_ISL_420011	Australia
hCoV_19_Australia_VIC321_2020_EPI_ISL_420012	Australia
hCoV_19_Australia_VIC322_2020_EPI_ISL_420013	Australia
hCoV_19_Australia_VIC323_2020_EPI_ISL_420014	Australia
hCoV_19_Australia_VIC324_2020_EPI_ISL_420015	Australia
hCoV_19_Australia_VIC325_2020_EPI_ISL_420016	Australia
hCoV_19_Australia_VIC326_2020_EPI_ISL_420017	Australia
hCoV_19_Australia_VIC32_2020_EPI_ISL_419751	Australia
hCoV_19_Australia_VIC33_2020_EPI_ISL_419752	Australia
hCoV_19_Australia_VIC34_2020_EPI_ISL_419753	Australia
hCoV_19_Australia_VIC35_2020_EPI_ISL_419755	Australia
hCoV_19_Australia_VIC36_2020_EPI_ISL_419765	Australia
hCoV_19_Australia_VIC37_2020_EPI_ISL_419754	Australia
hCoV_19_Australia_VIC38_2020_EPI_ISL_419756	Australia
hCoV_19_Australia_VIC39_2020_EPI_ISL_419757	Australia
hCoV_19_Australia_VIC40_2020_EPI_ISL_419758	Australia
hCoV_19_Australia_VIC41_2020_EPI_ISL_419760	Australia
hCoV_19_Australia_VIC42_2020_EPI_ISL_419761	Australia
hCoV_19_Australia_VIC43_2020_EPI_ISL_419763	Australia
hCoV_19_Australia_VIC44_2020_EPI_ISL_419767	Australia
hCoV_19_Australia_VIC45_2020_EPI_ISL_419802	Australia
hCoV_19_Australia_VIC46_2020_EPI_ISL_419816	Australia
hCoV_19_Australia_VIC47_2020_EPI_ISL_419759	Australia
hCoV_19_Australia_VIC48_2020_EPI_ISL_419762	Australia
hCoV_19_Australia_VIC49_2020_EPI_ISL_419764	Australia
hCoV_19_Australia_VIC50_2020_EPI_ISL_419766	Australia
hCoV_19_Australia_VIC51_2020_EPI_ISL_419826	Australia
hCoV_19_Australia_VIC52_2020_EPI_ISL_419768	Australia
hCoV_19_Australia_VIC53_2020_EPI_ISL_419769	Australia
hCoV_19_Australia_VIC54_2020_EPI_ISL_419770	Australia
hCoV_19_Australia_VIC55_2020_EPI_ISL_419776	Australia
hCoV_19_Australia_VIC56_2020_EPI_ISL_419777	Australia
hCoV_19_Australia_VIC57_2020_EPI_ISL_419779	Australia
hCoV_19_Australia_VIC58_2020_EPI_ISL_419784	Australia
hCoV_19_Australia_VIC59_2020_EPI_ISL_419771	Australia
hCoV_19_Australia_VIC60_2020_EPI_ISL_419772	Australia
hCoV_19_Australia_VIC61_2020_EPI_ISL_419773	Australia
hCoV_19_Australia_VIC62_2020_EPI_ISL_419774	Australia
hCoV_19_Australia_VIC63_2020_EPI_ISL_419775	Australia
hCoV_19_Australia_VIC64_2020_EPI_ISL_419778	Australia
hCoV_19_Australia_VIC66_2020_EPI_ISL_419780	Australia
hCoV_19_Australia_VIC67_2020_EPI_ISL_419781	Australia
hCoV_19_Australia_VIC68_2020_EPI_ISL_419782	Australia
hCoV_19_Australia_VIC69_2020_EPI_ISL_419783	Australia
hCoV_19_Australia_VIC70_2020_EPI_ISL_419786	Australia
hCoV_19_Australia_VIC73_2020_EPI_ISL_419785	Australia
hCoV_19_Australia_VIC75_2020_EPI_ISL_419787	Australia
hCoV_19_Australia_VIC76_2020_EPI_ISL_419788	Australia
hCoV_19_Australia_VIC77_2020_EPI_ISL_419789	Australia
hCoV_19_Australia_VIC78_2020_EPI_ISL_419790	Australia
hCoV_19_Australia_VIC79_2020_EPI_ISL_419791	Australia
hCoV_19_Australia_VIC80_2020_EPI_ISL_419792	Australia
hCoV_19_Australia_VIC81_2020_EPI_ISL_419793	Australia
hCoV_19_Australia_VIC82_2020_EPI_ISL_419794	Australia
hCoV_19_Australia_VIC83_2020_EPI_ISL_419799	Australia
hCoV_19_Australia_VIC84_2020_EPI_ISL_419803	Australia
hCoV_19_Australia_VIC85_2020_EPI_ISL_419795	Australia
hCoV_19_Australia_VIC86_2020_EPI_ISL_419796	Australia
hCoV_19_Australia_VIC87_2020_EPI_ISL_419797	Australia
hCoV_19_Australia_VIC88_2020_EPI_ISL_419798	Australia
hCoV_19_Australia_VIC89_2020_EPI_ISL_419800	Australia
hCoV_19_Australia_VIC90_2020_EPI_ISL_419801	Australia
hCoV_19_Australia_VIC91_2020_EPI_ISL_419804	Australia
hCoV_19_Australia_VIC92_2020_EPI_ISL_419809	Australia
hCoV_19_Australia_VIC93_2020_EPI_ISL_419815	Australia
hCoV_19_Australia_VIC94_2020_EPI_ISL_419805	Australia
hCoV_19_Australia_VIC95_2020_EPI_ISL_419806	Australia
hCoV_19_Australia_VIC96_2020_EPI_ISL_419807	Australia
hCoV_19_Australia_VIC97_2020_EPI_ISL_419808	Australia
hCoV_19_Australia_VIC98_2020_EPI_ISL_419810	Australia
hCoV_19_Australia_VIC99_2020_EPI_ISL_419811	Australia
hCoV_19_Australia_WA01_2020_EPI_ISL_420531	Australia
hCoV_19_Australia_WA02_2020_EPI_ISL_420532	Australia
hCoV_19_Australia_WA03_2020__EPI_ISL_420533	Australia
hCoV_19_Australia_WA04_2020__EPI_ISL_420536	Australia
hCoV_19_Australia_WA06_2020_EPI_ISL_420534	Australia
hCoV_19_Australia_WA07_2020_EPI_ISL_420537	Australia
hCoV_19_Australia_WA09_2020_EPI_ISL_420538	Australia
hCoV_19_Australia_WA10_2020_EPI_ISL_420539	Australia
hCoV_19_Australia_WA11_202_EPI_ISL_420456	Australia
hCoV_19_Austria_CeMM0001_2020_EPI_ISL_419654	Austria
hCoV_19_Austria_CeMM0002_2020_EPI_ISL_419655	Austria
hCoV_19_Austria_CeMM0003_2020_EPI_ISL_419656	Austria
hCoV_19_Austria_CeMM0004_2020_EPI_ISL_419657	Austria
hCoV_19_Austria_CeMM0005_2020_EPI_ISL_419658	Austria
hCoV_19_Austria_CeMM0006_2020_EPI_ISL_419659	Austria
hCoV_19_Austria_CeMM0007_2020_EPI_ISL_419660	Austria
hCoV_19_Austria_CeMM0008_2020_EPI_ISL_419661	Austria
hCoV_19_Austria_CeMM0009_2020_EPI_ISL_419662	Austria
hCoV_19_Austria_CeMM0010_2020_EPI_ISL_419663	Austria
